[0.51724137931000003, 'K=', '471\n']
[0.517326732673, 'K=', '96\n']
[0.51746031745999999, 'K=', '185\n']
[0.51757188498399997, 'K=', '187\n']
[0.51791530944599995, 'K=', '193\n']
[0.51818181818200004, 'K=', '170\n']
[0.518207282913, 'K=', '143\n']
[0.51839464882899999, 'K=', '201\n']
[0.51875000000000004, 'K=', '180\n']
[0.519108280255, 'K=', '186\n']
[0.51951219512199998, 'K=', '90\n']
[0.51966292134799996, 'K=', '144\n']
[0.51986754966899995, 'K=', '198\n']
[0.52013422818800004, 'K=', '202\n']
[0.52024922118399997, 'K=', '179\n']
[0.52103559870600002, 'K=', '191\n']
[0.52109181141399996, 'K=', '97\n']
[0.52173913043499998, 'K=', '477\n']
[0.52201257861600003, 'K=', '182\n']
[0.52215189873400003, 'K=', '184\n']
[0.52218430034100005, 'K=', '207\n']
[0.52249134948099996, 'K=', '211\n']
[0.52293577981700001, 'K=', '173\n']
[0.52380952381000001, 'K=', '101\n']
[0.52380952381000001, 'K=', '479\n']
[0.52587991718399996, 'K=', '17\n']
[0.52681388012599994, 'K=', '183\n']
[0.52811244979899996, 'K=', '2\n']
[0.52860411899299997, 'K=', '63\n']
[0.52867830423899997, 'K=', '99\n']
[0.52941176470600004, 'K=', '466\n']
[0.52978056426300002, 'K=', '181\n']
[0.53333333333300004, 'K=', '470\n']
[0.54545454545500005, 'K=', '467\n']
[0.54838709677399999, 'K=', '469\n']
[0.5625, 'K=', '468\n']
[0.57142857142900005, 'K=', '493\n']
[0.66666666666700003, 'K=', '494\n']
[0.80000000000000004, 'K=', '495\n']
[1.0, 'K=', '496\n']
[1.0, 'K=', '497\n']
[1.0, 'K=', '498\n']
[1.0, 'K=', '499\n']
